[2022-08-08 23:34:35.711031][Task_List] ['receive_energy', 'mission_explore', 'shopping', 'mission_arena', 'mission_gashapon', 'mission_guild', 'mission_dungeons', 'mission_princess_arena', 'mission_complete']
[2022-08-08 23:34:35.765719][Task] initial
[2022-08-11 00:44:35.075720][Task] <click> blank_button
[2022-08-11 00:44:35.078911][initial][blank_button][click] (0, 2.0)
[2022-08-11 00:44:35.084938][initial][blank_button][idle] 12.12 seconds
[2022-08-11 00:44:39.761540][Task_List] ['receive_energy', 'shopping', 'mission_guild', 'mission_dungeons', 'mission_explore', 'mission_arena', 'mission_gashapon', 'mission_princess_arena', 'mission_complete']
[2022-08-11 00:44:39.769434][Task] initial
[2022-08-11 00:44:39.772364][Task] <click> blank_button
[2022-08-11 00:44:39.775293][initial][blank_button][click] (3.0, 0)
[2022-08-11 00:44:39.780906][initial][blank_button][idle] 10.17 seconds
[2022-08-11 00:44:49.956732][Task] receive_energy
[2022-08-11 00:44:49.959897][Task] <click> home_button
[2022-08-11 00:44:49.961851][receive_energy][home_button][click] (840.0, 698.0)
[2022-08-11 00:44:49.968782][receive_energy][home_button][idle] 7.92 seconds
[2022-08-11 00:44:57.892301][Task] <click> receive_button
[2022-08-11 00:44:57.915969][receive_energy][receive_button][click] (1196.0, 569.0)
[2022-08-11 00:44:57.922807][receive_energy][receive_button][idle] 3.67 seconds
[2022-08-11 00:45:01.595996][Task] <click> blank_button
[2022-08-11 00:45:01.598934][receive_energy][blank_button][click] (69.0, 39.0)
[2022-08-11 00:45:01.604789][receive_energy][blank_button][idle] 5.58 seconds
[2022-08-11 00:45:07.188139][Task] shopping
[2022-08-11 00:45:07.239427][Task] <click> main_button
[2022-08-11 00:45:07.243718][shopping][main_button][click] (128.0, 695.0)
[2022-08-11 00:45:07.249834][shopping][main_button][idle] 7.08 seconds
[2022-08-11 00:45:14.333650][Task] <click> shop_button
[2022-08-11 00:45:14.335603][shopping][shop_button][click] (830.0, 568.0)
[2022-08-11 00:45:14.341193][shopping][shop_button][idle] 7.81 seconds
[2022-08-11 00:45:22.154113][Task] <click> first_cargo
[2022-08-11 00:45:22.192019][shopping][first_cargo][click] (519.0, 201.0)
[2022-08-11 00:45:22.197878][shopping][first_cargo][idle] 1.74 seconds
[2022-08-11 00:45:23.940760][Task] <click> second_cargo
[2022-08-11 00:45:23.944667][shopping][second_cargo][click] (742.0, 197.0)
[2022-08-11 00:45:23.950421][shopping][second_cargo][idle] 1.04 seconds
[2022-08-11 00:45:24.992765][Task] <click> third_cargo
[2022-08-11 00:45:24.995692][shopping][third_cargo][click] (974.0, 202.0)
[2022-08-11 00:45:25.001422][shopping][third_cargo][idle] 2.4 seconds
[2022-08-11 00:45:27.404356][Task] <click> fourth_cargo
[2022-08-11 00:45:27.426036][shopping][fourth_cargo][click] (1196.0, 195.0)
[2022-08-11 00:45:27.442002][shopping][fourth_cargo][idle] 2.27 seconds
[2022-08-11 00:45:29.717955][Task] <click> buy_button
[2022-08-11 00:45:29.770844][shopping][buy_button][click] (1027.0, 585.0)
[2022-08-11 00:45:29.778667][shopping][buy_button][idle] 3.8 seconds
[2022-08-11 00:45:33.586432][Task] <click> ok_button
[2022-08-11 00:45:33.607992][shopping][ok_button][click] (775.0, 637.0)
[2022-08-11 00:45:33.616294][shopping][ok_button][idle] 4.45 seconds
[2022-08-11 00:45:38.081412][Task] <click> blank_button
[2022-08-11 00:45:38.089543][shopping][blank_button][click] (191.0, 201.0)
[2022-08-11 00:45:38.099414][shopping][blank_button][idle] 5.06 seconds
[2022-08-11 00:45:43.165659][Task] mission_guild
[2022-08-11 00:45:43.171654][Task] <click> main_button
[2022-08-11 00:45:43.181657][mission_guild][main_button][click] (131.0, 690.0)
[2022-08-11 00:45:43.188503][mission_guild][main_button][idle] 5.24 seconds
[2022-08-11 00:45:48.451910][Task] <click> guild_button
[2022-08-11 00:45:48.457769][mission_guild][guild_button][click] (920.0, 577.0)
[2022-08-11 00:45:48.466188][mission_guild][guild_button][idle] 5.2 seconds
[2022-08-11 00:45:53.672934][Task] <click> blank_button
[2022-08-11 00:45:53.710919][mission_guild][blank_button][click] (59.0, 150.0)
[2022-08-11 00:45:53.720922][mission_guild][blank_button][idle] 5.34 seconds
[2022-08-11 00:45:59.068246][Task] <click> friend_button
[2022-08-11 00:45:59.073122][mission_guild][friend_button][click] (309.0, 470.0)
[2022-08-11 00:45:59.081131][mission_guild][friend_button][idle] 6.64 seconds
[2022-08-11 00:46:05.727165][Task] <click> like_button
[2022-08-11 00:46:05.732030][mission_guild][like_button][click] (1101.0, 417.0)
[2022-08-11 00:46:05.740819][mission_guild][like_button][idle] 4.55 seconds
[2022-08-11 00:46:10.297060][Task] <click> blank_button
[2022-08-11 00:46:10.302763][mission_guild][blank_button][click] (57.0, 139.0)
[2022-08-11 00:46:10.312322][mission_guild][blank_button][idle] 4.22 seconds
[2022-08-11 00:46:14.538609][Task] mission_dungeons
[2022-08-11 00:46:14.551717][Task] <click> adventure_button
[2022-08-11 00:46:14.556600][mission_dungeons][adventure_button][click] (622.0, 697.0)
[2022-08-11 00:46:14.574213][mission_dungeons][adventure_button][idle] 6.01 seconds
[2022-08-11 00:46:20.594726][Task] <click> dungeons_button
[2022-08-11 00:46:20.622886][mission_dungeons][dungeons_button][click] (1161.0, 189.0)
[2022-08-11 00:46:20.635878][mission_dungeons][dungeons_button][idle] 6.68 seconds
[2022-08-11 00:46:27.326089][Task] <click> last_extreme_button
[2022-08-11 00:46:27.334134][mission_dungeons][last_extreme_button][click] (1110.0, 323.0)
[2022-08-11 00:46:27.345755][mission_dungeons][last_extreme_button][idle] 3.97 seconds
[2022-08-11 00:46:31.326659][Task] <click> ok_button
[2022-08-11 00:46:31.334215][mission_dungeons][ok_button][click] (783.0, 584.0)
[2022-08-11 00:46:31.341326][mission_dungeons][ok_button][idle] 6.94 seconds
[2022-08-11 00:46:38.289326][Task] <click> first_enemy
[2022-08-11 00:46:38.294426][mission_dungeons][first_enemy][click] (910.0, 357.0)
[2022-08-11 00:46:38.310641][mission_dungeons][first_enemy][idle] 4.03 seconds
[2022-08-11 00:46:42.348672][Task] <click> challenge_button
[2022-08-11 00:46:42.356475][mission_dungeons][challenge_button][click] (1117.0, 603.0)
[2022-08-11 00:46:42.372108][mission_dungeons][challenge_button][idle] 7.57 seconds
[2022-08-11 00:46:49.956041][Task] <click> my_team_button
[2022-08-11 00:46:49.970578][mission_dungeons][my_team_button][click] (1146.0, 121.0)
[2022-08-11 00:46:50.004215][mission_dungeons][my_team_button][idle] 4.3 seconds
[2022-08-11 00:46:54.323955][Task] <click> call_button
[2022-08-11 00:46:54.346889][mission_dungeons][call_button][click] (1029.0, 270.0)
[2022-08-11 00:46:54.358849][mission_dungeons][call_button][idle] 4.72 seconds
[2022-08-11 00:46:59.085831][Task] <click> attack_button
[2022-08-11 00:46:59.100701][mission_dungeons][attack_button][click] (1106.0, 612.0)
[2022-08-11 00:46:59.112924][mission_dungeons][attack_button][idle] 36.83 seconds
[2022-08-11 00:47:35.956930][Task] <click> next_button
[2022-08-11 00:47:35.961913][mission_dungeons][next_button][click] (1092.0, 656.0)
[2022-08-11 00:47:35.975222][mission_dungeons][next_button][idle] 5.99 seconds
[2022-08-11 00:47:41.972017][Task] <click> blank_button
[2022-08-11 00:47:42.021729][mission_dungeons][blank_button][click] (68.0, 149.0)
[2022-08-11 00:47:42.035404][mission_dungeons][blank_button][idle] 8.8 seconds
[2022-08-11 00:47:50.842014][Task] <click> second_enemy
[2022-08-11 00:47:50.892032][mission_dungeons][second_enemy][click] (635.0, 345.0)
[2022-08-11 00:47:50.905704][mission_dungeons][second_enemy][idle] 3.96 seconds
[2022-08-11 00:47:54.874441][Task] <click> challenge_button
[2022-08-11 00:47:54.882137][mission_dungeons][challenge_button][click] (1112.0, 609.0)
[2022-08-11 00:47:54.893857][mission_dungeons][challenge_button][idle] 6.19 seconds
[2022-08-11 00:48:01.093846][Task] <click> attack_button
[2022-08-11 00:48:01.141420][mission_dungeons][attack_button][click] (1116.0, 612.0)
[2022-08-11 00:48:01.160061][mission_dungeons][attack_button][idle] 35.49 seconds
[2022-08-11 00:48:36.663789][Task] <click> next_button
[2022-08-11 00:48:36.674087][mission_dungeons][next_button][click] (1128.0, 654.0)
[2022-08-11 00:48:36.692060][mission_dungeons][next_button][idle] 6.75 seconds
[2022-08-11 00:48:43.448295][Task] <click> blank_button
[2022-08-11 00:48:43.453171][mission_dungeons][blank_button][click] (61.0, 135.0)
[2022-08-11 00:48:43.470350][mission_dungeons][blank_button][idle] 9.16 seconds
[2022-08-11 00:48:52.637785][Task] <click> third_enemy
[2022-08-11 00:48:52.646817][mission_dungeons][third_enemy][click] (291.0, 322.0)
[2022-08-11 00:48:52.660336][mission_dungeons][third_enemy][idle] 3.99 seconds
[2022-08-11 00:48:56.657729][Task] <click> challenge_button
[2022-08-11 00:48:56.695684][mission_dungeons][challenge_button][click] (1121.0, 600.0)
[2022-08-11 00:48:56.709844][mission_dungeons][challenge_button][idle] 7.68 seconds
[2022-08-11 00:49:04.399499][Task] <click> attack_button
[2022-08-11 00:49:04.405606][mission_dungeons][attack_button][click] (1104.0, 595.0)
[2022-08-11 00:49:04.418565][mission_dungeons][attack_button][idle] 36.47 seconds
[2022-08-11 00:49:40.900677][Task] <click> next_button
[2022-08-11 00:49:40.941975][mission_dungeons][next_button][click] (1090.0, 656.0)
[2022-08-11 00:49:40.954668][mission_dungeons][next_button][idle] 7.47 seconds
[2022-08-11 00:49:48.430801][Task] <click> blank_button
[2022-08-11 00:49:48.436661][mission_dungeons][blank_button][click] (55.0, 141.0)
[2022-08-11 00:49:48.448661][mission_dungeons][blank_button][idle] 9.79 seconds
[2022-08-11 00:49:58.244935][Task] <click> fourth_enemy
[2022-08-11 00:49:58.251772][mission_dungeons][fourth_enemy][click] (655.0, 340.0)
[2022-08-11 00:49:58.263508][mission_dungeons][fourth_enemy][idle] 5.01 seconds
[2022-08-11 00:50:03.282255][Task] <click> challenge_button
[2022-08-11 00:50:03.308872][mission_dungeons][challenge_button][click] (1111.0, 616.0)
[2022-08-11 00:50:03.321306][mission_dungeons][challenge_button][idle] 5.27 seconds
[2022-08-11 00:50:08.601750][Task] <click> attack_button
[2022-08-11 00:50:08.606632][mission_dungeons][attack_button][click] (1109.0, 610.0)
[2022-08-11 00:50:08.620774][mission_dungeons][attack_button][idle] 36.28 seconds
[2022-08-11 00:50:44.913166][Task] <click> next_button
[2022-08-11 00:50:44.939760][mission_dungeons][next_button][click] (1119.0, 658.0)
[2022-08-11 00:50:44.952017][mission_dungeons][next_button][idle] 5.75 seconds
[2022-08-11 00:50:50.709307][Task] <click> blank_button
[2022-08-11 00:50:50.715166][mission_dungeons][blank_button][click] (69.0, 136.0)
[2022-08-11 00:50:50.728914][mission_dungeons][blank_button][idle] 9.73 seconds
[2022-08-11 00:51:00.469138][Task] <click> retreat_button
[2022-08-11 00:51:00.496346][mission_dungeons][retreat_button][click] (1080.0, 565.0)
[2022-08-11 00:51:00.513924][mission_dungeons][retreat_button][idle] 5.09 seconds
[2022-08-11 00:51:05.621994][Task] <click> comfirm_button
[2022-08-11 00:51:05.662703][mission_dungeons][comfirm_button][click] (784.0, 498.0)
[2022-08-11 00:51:05.675399][mission_dungeons][comfirm_button][idle] 5.22 seconds
[2022-08-11 00:51:10.912443][Task] mission_explore
[2022-08-11 00:51:10.927091][Task] <click> adventure_button
[2022-08-11 00:51:10.933425][mission_explore][adventure_button][click] (654.0, 686.0)
[2022-08-11 00:51:10.948945][mission_explore][adventure_button][idle] 5.05 seconds
[2022-08-11 00:51:16.010211][Task] <click> explore_button
[2022-08-11 00:51:16.017044][mission_explore][explore_button][click] (991.0, 195.0)
[2022-08-11 00:51:16.031221][mission_explore][explore_button][idle] 5.15 seconds
[2022-08-11 00:51:21.188682][Task] <click> exp_button
[2022-08-11 00:51:21.193756][mission_explore][exp_button][click] (786.0, 335.0)
[2022-08-11 00:51:21.205681][mission_explore][exp_button][idle] 6.42 seconds
[2022-08-11 00:51:27.631913][Task] <click> level_button
[2022-08-11 00:51:27.652086][mission_explore][level_button][click] (947.0, 193.0)
[2022-08-11 00:51:27.664783][mission_explore][level_button][idle] 5.26 seconds
[2022-08-11 00:51:32.931190][Task] <click> attack_button
[2022-08-11 00:51:32.939978][mission_explore][attack_button][click] (1001.0, 437.0)
[2022-08-11 00:51:32.955612][mission_explore][attack_button][idle] 4.22 seconds
[2022-08-11 00:51:37.184935][Task] <click> ok_button
[2022-08-11 00:51:37.191234][mission_explore][ok_button][click] (799.0, 490.0)
[2022-08-11 00:51:37.202301][mission_explore][ok_button][idle] 7.9 seconds
[2022-08-11 00:51:45.108039][Task] <click> blank_button
[2022-08-11 00:51:45.151287][mission_explore][blank_button][click] (61.0, 138.0)
[2022-08-11 00:51:45.161763][mission_explore][blank_button][idle] 6.8 seconds
[2022-08-11 00:51:51.969125][Task] <click> level_button
[2022-08-11 00:51:52.018906][mission_explore][level_button][click] (964.0, 201.0)
[2022-08-11 00:51:52.030127][mission_explore][level_button][idle] 5.62 seconds
[2022-08-11 00:51:57.657859][Task] <click> attack_button
[2022-08-11 00:51:57.675493][mission_explore][attack_button][click] (1024.0, 445.0)
[2022-08-11 00:51:57.691100][mission_explore][attack_button][idle] 3.84 seconds
[2022-08-11 00:52:01.537695][Task] <click> ok_button
[2022-08-11 00:52:01.543556][mission_explore][ok_button][click] (783.0, 491.0)
[2022-08-11 00:52:01.551229][mission_explore][ok_button][idle] 9.39 seconds
[2022-08-11 00:52:10.949010][Task] <click> blank_button
[2022-08-11 00:52:10.953892][mission_explore][blank_button][click] (55.0, 148.0)
[2022-08-11 00:52:10.962269][mission_explore][blank_button][idle] 5.3 seconds
[2022-08-11 00:52:16.269954][Task] mission_arena
[2022-08-11 00:52:16.301459][Task] <click> adventure_button
[2022-08-11 00:52:16.308295][mission_arena][adventure_button][click] (641.0, 679.0)
[2022-08-11 00:52:16.321968][mission_arena][adventure_button][idle] 7.25 seconds
[2022-08-11 00:52:23.578312][Task] <click> arena_button
[2022-08-11 00:52:23.584119][mission_arena][arena_button][click] (750.0, 527.0)
[2022-08-11 00:52:23.592356][mission_arena][arena_button][idle] 6.01 seconds
[2022-08-11 00:52:29.608371][Task] <click> blank_button
[2022-08-11 00:52:29.638770][mission_arena][blank_button][click] (57.0, 148.0)
[2022-08-11 00:52:29.649747][mission_arena][blank_button][idle] 5.16 seconds
[2022-08-11 00:52:34.816731][Task] <click> receive_button
[2022-08-11 00:52:34.826000][mission_arena][receive_button][click] (400.0, 450.0)
[2022-08-11 00:52:34.838592][mission_arena][receive_button][idle] 4.13 seconds
[2022-08-11 00:52:38.975860][Task] <click> blank_button
[2022-08-11 00:52:38.981936][mission_arena][blank_button][click] (62.0, 134.0)
[2022-08-11 00:52:38.993891][mission_arena][blank_button][idle] 4.36 seconds
[2022-08-11 00:52:43.361111][Task] <click> first_person
[2022-08-11 00:52:43.366970][mission_arena][first_person][click] (811.0, 244.0)
[2022-08-11 00:52:43.376742][mission_arena][first_person][idle] 3.86 seconds
[2022-08-11 00:52:47.251881][Task] <click> attack_button
[2022-08-11 00:52:47.257740][mission_arena][attack_button][click] (1097.0, 609.0)
[2022-08-11 00:52:47.270678][mission_arena][attack_button][idle] 7.09 seconds
[2022-08-11 00:52:54.366612][Task] <click> skip_button
[2022-08-11 00:52:54.419484][mission_arena][skip_button][click] (1224.0, 482.0)
[2022-08-11 00:52:54.432698][mission_arena][skip_button][idle] 8.96 seconds
[2022-08-11 00:53:03.400023][Task] <click> next_button
[2022-08-11 00:53:03.406858][mission_arena][next_button][click] (1101.0, 659.0)
[2022-08-11 00:53:03.418220][mission_arena][next_button][idle] 7.19 seconds
[2022-08-11 00:53:10.614928][Task] <click> blank_button
[2022-08-11 00:53:10.667551][mission_arena][blank_button][click] (52.0, 136.0)
[2022-08-11 00:53:10.676551][mission_arena][blank_button][idle] 3.49 seconds
[2022-08-11 00:53:14.172082][Task] <click> blank_button
[2022-08-11 00:53:14.205990][mission_arena][blank_button][click] (56.0, 137.0)
[2022-08-11 00:53:14.217710][mission_arena][blank_button][idle] 3.65 seconds
[2022-08-11 00:53:17.875092][Task] mission_gashapon
[2022-08-11 00:53:17.879979][Task] <click> gashapon_button
[2022-08-11 00:53:17.893142][mission_gashapon][gashapon_button][click] (998.0, 691.0)
[2022-08-11 00:53:17.906814][mission_gashapon][gashapon_button][idle] 5.91 seconds
[2022-08-11 00:53:23.830816][Task] <click> blank_button
[2022-08-11 00:53:23.852934][mission_gashapon][blank_button][click] (61.0, 150.0)
[2022-08-11 00:53:23.876065][mission_gashapon][blank_button][idle] 3.51 seconds
[2022-08-11 00:53:27.392254][Task] <click> normal_button
[2022-08-11 00:53:27.407148][mission_gashapon][normal_button][click] (1192.0, 99.0)
[2022-08-11 00:53:27.419808][mission_gashapon][normal_button][idle] 6.96 seconds
[2022-08-11 00:53:34.386675][Task] <click> free_button
[2022-08-11 00:53:34.615056][mission_gashapon][free_button][click] (949.0, 458.0)
[2022-08-11 00:53:34.633874][mission_gashapon][free_button][idle] 3.48 seconds
[2022-08-11 00:53:38.123004][Task] <click> ok_button
[2022-08-11 00:53:38.167428][mission_gashapon][ok_button][click] (788.0, 495.0)
[2022-08-11 00:53:38.176092][mission_gashapon][ok_button][idle] 11.96 seconds
[2022-08-11 00:53:50.142690][Task] <click> receive_button
[2022-08-11 00:53:50.165242][mission_gashapon][receive_button][click] (639.0, 587.0)
[2022-08-11 00:53:50.177482][mission_gashapon][receive_button][idle] 5.41 seconds
[2022-08-11 00:53:55.598973][Task] mission_princess_arena
[2022-08-11 00:53:55.617490][Task] <click> adventure_button
[2022-08-11 00:53:55.623147][mission_princess_arena][adventure_button][click] (623.0, 688.0)
[2022-08-11 00:53:55.634874][mission_princess_arena][adventure_button][idle] 6.33 seconds
[2022-08-11 00:54:01.976699][Task] <click> princess_arena_button
[2022-08-11 00:54:01.988839][mission_princess_arena][princess_arena_button][click] (1113.0, 521.0)
[2022-08-11 00:54:02.001216][mission_princess_arena][princess_arena_button][idle] 5.27 seconds
[2022-08-11 00:54:07.282095][Task] <click> blank_button
[2022-08-11 00:54:07.287952][mission_princess_arena][blank_button][click] (56.0, 146.0)
[2022-08-11 00:54:07.300034][mission_princess_arena][blank_button][idle] 5.97 seconds
[2022-08-11 00:54:13.281705][Task] <click> receive_button
[2022-08-11 00:54:13.290045][mission_princess_arena][receive_button][click] (404.0, 453.0)
[2022-08-11 00:54:13.302800][mission_princess_arena][receive_button][idle] 5.11 seconds
[2022-08-11 00:54:18.423262][Task] <click> blank_button
[2022-08-11 00:54:18.447611][mission_princess_arena][blank_button][click] (64.0, 135.0)
[2022-08-11 00:54:18.463916][mission_princess_arena][blank_button][idle] 4.52 seconds
